"","unique.as.character.dt.train.Breed1.dt.train.AnimalType.....Dog...."
"163","Glen Of Imaal Mix"
"164","Golden Retriever"
"165","Golden Retriever Mix"
"166","Great Dane"
"167","Great Dane Mix"
"168","Greater Swiss Mountain Dog Mix"
"169","Great Pyrenees"
"170","Great Pyrenees Mix"
"171","Greyhound"
"172","Greyhound Mix"
"173","Harrier"
"174","Harrier Mix"
"175","Havanese"
"176","Havanese Mix"
"177","Hovawart Mix"
"178","Ibizan Hound Mix"
"179","Ibizan Hound"
"180","Irish Setter"
"181","Irish Terrier"
"182","Irish Terrier Mix"
"183","Irish Wolfhound"
"184","Irish Wolfhound Mix"
"185","Italian Greyhound"
"186","Italian Greyhound Mix"
"187","Jack Russell Terrier"
"188","Jack Russell Terrier Mix"
"189","Japanese Chin"
"190","Japanese Chin Mix"
"191","Jindo Mix"
"192","Keeshond"
"193","Keeshond Mix"
"194","Kuvasz"
"195","Labrador Retriever"
"196","Labrador Retriever Mix"
"197","Landseer Mix"
"198","Leonberger"
"199","Leonberger Mix"
"200","Lhasa Apso"
"201","Lhasa Apso Mix"
"202","Lowchen Mix"
"203","Maltese"
"204","Maltese Mix"
"205","Manchester Terrier"
"206","Manchester Terrier Mix"
"207","Mastiff"
"208","Mastiff Mix"
"209","Mexican Hairless Mix"
"210","Miniature Pinscher"
"211","Miniature Pinscher Mix"
"212","Miniature Poodle"
"213","Miniature Poodle Mix"
"214","Miniature Schnauzer"
"215","Miniature Schnauzer Mix"
"216","Neapolitan Mastiff Mix"
"217","Newfoundland"
"218","Newfoundland Mix"
"219","Norfolk Terrier"
"220","Norfolk Terrier Mix"
"221","Norwegian Elkhound Mix"
"222","Norwich Terrier"
"223","Norwich Terrier Mix"
"224","Nova Scotia Duck Tolling Retriever"
"225","Nova Scotia Duck Tolling Retriever Mix"
"226","Old English Bulldog Mix"
"227","Old English Sheepdog"
"228","Otterhound Mix"
"229","Papillon"
"230","Papillon Mix"
"231","Parson Russell Terrier"
"232","Parson Russell Terrier Mix"
"233","Patterdale Terr"
"234","Patterdale Terr Mix"
"235","Pbgv"
"236","Pbgv Mix"
"237","Pekingese"
"238","Pekingese Mix"
"239","Pembroke Welsh Corgi"
"240","Pembroke Welsh Corgi Mix"
"241","Pharaoh Hound"
"242","Pharaoh Hound Mix"
"243","Picardy Sheepdog Mix"
"244","Pit Bull"
"245","Pit Bull Mix"
"246","Plott Hound"
"247","Plott Hound Mix"
"248","Podengo Pequeno Mix"
"249","Pointer"
"250","Pointer Mix"
"251","Pomeranian"
"252","Pomeranian Mix"
"253","Port Water Dog Mix"
"254","Presa Canario"
"255","Presa Canario Mix"
"256","Pug"
"257","Pug Mix"
"258","Queensland Heeler"
"259","Queensland Heeler Mix"
"260","Rat Terrier"
"261","Rat Terrier Mix"
"262","Redbone Hound"
"263","Redbone Hound Mix"
"264","Rhod Ridgeback"
"265","Rhod Ridgeback Mix"
"266","Rottweiler"
"267","Rottweiler Mix"
"268","Saluki"
"269","Saluki Mix"
"270","Samoyed Mix"
"271","Schipperke"
"272","Schipperke Mix"
"273","Schnauzer Giant Mix"
"274","Scottish Terrier"
"275","Scottish Terrier Mix"
"276","Sealyham Terr Mix"
"277","Shetland Sheepdog"
"278","Shetland Sheepdog Mix"
"279","Shiba Inu"
"280","Shiba Inu Mix"
"281","Shih Tzu"
"282","Shih Tzu Mix"
"283","Siberian Husky"
"284","Siberian Husky Mix"
"285","Silky Terrier Mix"
"286","Silky Terrier"
"287","Skye Terrier"
"288","Skye Terrier Mix"
"289","Smooth Fox Terrier Mix"
"290","Soft Coated Wheaten Terrier"
"291","Soft Coated Wheaten Terrier Mix"
"292","Spanish Mastiff Mix"
"293","Spinone Italiano Mix"
"294","Staffordshire"
"295","Staffordshire Mix"
"296","Standard Poodle"
"297","Standard Poodle Mix"
"298","Standard Schnauzer"
"299","Standard Schnauzer Mix"
"300","St. Bernard Rough Coat"
"301","St. Bernard Rough Coat Mix"
"302","St. Bernard Smooth Coat"
"303","St. Bernard Smooth Coat Mix"
"304","Swedish Vallhund"
"305","Swedish Vallhund Mix"
"306","Swiss Hound"
"307","Tibetan Spaniel"
"308","Tibetan Spaniel Mix"
"309","Tibetan Terrier"
"310","Tibetan Terrier Mix"
"311","Toy Fox Terrier"
"312","Toy Fox Terrier Mix"
"313","Toy Poodle"
"314","Toy Poodle Mix"
"315","Treeing Cur Mix"
"316","Treeing Tennesse Brindle"
"317","Treeing Walker Coonhound"
"318","Treeing Walker Coonhound Mix"
"319","Unknown Mix"
"320","Vizsla"
"321","Vizsla Mix"
"322","Weimaraner"
"323","Weimaraner Mix"
"324","Welsh Springer Spaniel"
"325","Welsh Springer Spaniel Mix"
"326","Welsh Terrier Mix"
"327","West Highland"
"328","West Highland Mix"
"329","Whippet"
"330","Whippet Mix"
"331","Wirehaired Pointing Griffon Mix"
"332","Wire Hair Fox Terrier"
"333","Wire Hair Fox Terrier Mix"
"334","Yorkshire Terrier"
"335","Yorkshire Terrier Mix"
